日期,證券代號,規則分數,ML 分數,Deep 分數,混合分數,綜合分數,元模型分數,三層融合,上漲機率(20d),快照收盤,市場狀態
2026-05-03,3680,177.5,60.7,31.1,76.4,177.5,78.1,75.9,39%,537.0,bull
2026-05-03,2449,156.3,29.0,39.3,52.6,156.3,69.2,60.0,48%,302.5,bull
2026-05-03,3167,118.0,42.8,46.4,52.2,118.0,65.8,63.7,55%,861.0,bull
2026-05-03,4949,171.1,26.7,31.7,54.6,171.1,64.8,59.0,42%,105.5,bull
2026-05-03,6706,145.8,18.6,54.0,44.0,145.8,64.6,59.3,63%,151.5,bull
2026-05-03,3707,174.7,21.8,32.2,52.4,174.7,64.2,57.4,40%,66.19999694824219,bull
2026-05-03,4526,158.8,26.3,30.8,51.5,158.8,61.2,54.6,39%,36.75,bull
2026-05-03,6218,133.3,23.9,41.1,44.4,133.3,61.0,53.7,50%,41.150001525878906,bull
2026-05-03,4542,119.2,33.1,48.8,46.7,119.2,60.9,59.8,58%,199.0,bull
2026-05-03,6903,116.8,30.9,46.4,44.9,116.8,60.6,57.5,55%,412.5,bull
2026-05-03,6217,123.0,28.4,49.0,44.8,123.0,60.3,58.3,58%,278.0,bull
2026-05-03,5864,145.3,31.6,28.3,51.7,145.3,58.7,53.9,37%,28.5,bull
2026-05-03,3498,139.4,26.7,32.7,47.4,139.4,57.3,53.3,42%,87.69999694824219,bull
2026-05-03,2233,111.0,52.7,26.7,56.6,111.0,56.9,57.5,36%,300.0,bull
2026-05-03,2417,148.8,23.8,27.6,47.8,148.8,56.6,50.3,36%,47.150001525878906,bull
2026-05-03,6446,130.6,32.1,31.0,48.7,130.6,56.3,52.3,38%,661.0,bull
2026-05-03,1591,143.4,22.6,30.5,45.9,143.4,56.0,49.7,39%,64.9000015258789,bull
2026-05-03,6215,134.5,25.6,31.5,45.7,134.5,55.2,51.4,40%,111.0,bull
2026-05-03,00733,130.5,32.2,28.0,48.7,130.5,55.1,51.2,37%,64.4000015258789,bull
2026-05-03,6197,154.0,34.6,23.3,55.5,154.0,53.8,55.4,31%,208.0,bull
2026-05-03,5443,175.8,19.1,17.2,51.1,175.8,50.8,49.5,25%,129.5,bull
2026-05-03,6207,147.7,24.8,23.5,48.2,147.7,49.8,49.2,32%,64.5,bull
2026-05-03,6937,121.1,21.6,29.2,40.3,121.1,49.5,44.5,38%,331.0,bull
2026-05-03,2374,115.5,27.0,26.4,42.3,115.5,48.9,45.2,35%,78.4000015258789,bull
2026-05-03,8091,143.6,29.1,20.6,49.8,143.6,48.7,49.6,29%,192.0,bull
2026-05-03,2328,124.5,27.9,26.3,44.8,124.5,47.2,47.3,34%,49.54999923706055,bull
2026-05-03,6015,116.2,34.5,25.5,46.9,116.2,47.0,48.8,33%,14.199999809265137,bull
2026-05-03,2465,127.0,31.1,16.8,47.3,127.0,43.9,45.1,24%,74.0,bull
2026-05-03,00938,118.1,27.5,21.8,43.1,118.1,43.5,44.3,28%,20.260000228881836,bull
2026-05-03,00936,120.1,35.0,11.7,48.1,120.1,41.1,42.0,10%,18.940000534057617,bull
2026-05-04,3680,175.5,60.7,32.8,76.4,175.5,78.2,76.5,39%,537.0,bull
2026-05-04,2449,154.3,29.0,40.9,52.6,154.3,69.1,60.6,48%,302.5,bull
2026-05-04,8271,118.3,55.1,49.2,60.0,118.3,68.5,71.3,56%,220.0,bull
2026-05-04,4949,169.1,26.7,33.5,54.6,169.1,65.0,59.7,42%,105.5,bull
2026-05-04,3707,174.7,21.8,34.0,52.9,174.7,64.9,58.4,40%,66.19999694824219,bull
2026-05-04,6706,143.8,18.6,55.3,43.9,143.8,64.6,59.7,63%,151.5,bull
2026-05-04,4526,161.8,26.3,32.5,52.6,161.8,62.7,56.1,39%,36.75,bull
2026-05-04,4542,118.2,33.1,50.2,46.8,118.2,61.2,60.4,58%,199.0,bull
2026-05-04,6218,132.3,23.9,42.7,44.5,132.3,61.2,54.3,50%,41.150001525878906,bull
2026-05-04,6903,116.8,30.9,47.9,45.2,116.8,61.1,58.2,55%,412.5,bull
2026-05-04,6217,122.0,28.4,50.4,44.9,122.0,60.6,58.8,58%,278.0,bull
2026-05-04,1560,114.3,31.0,42.8,44.7,114.3,58.8,54.5,49%,540.0,bull
2026-05-04,5864,142.3,31.6,30.2,51.4,142.3,58.7,54.3,37%,28.5,bull
2026-05-04,3498,137.4,26.7,34.5,47.3,137.4,57.5,53.8,42%,87.69999694824219,bull
2026-05-04,6215,140.5,25.6,33.2,47.4,140.5,57.4,52.0,40%,111.0,bull
2026-05-04,6197,166.0,34.6,25.2,58.6,166.0,57.3,58.7,31%,208.0,bull
2026-05-04,1591,142.4,22.6,32.3,46.0,142.4,56.4,50.4,39%,64.9000015258789,bull
2026-05-04,6446,127.6,32.1,32.8,48.3,127.6,56.3,52.6,38%,661.0,bull
2026-05-04,1711,116.6,20.2,49.8,38.7,116.6,56.1,53.3,58%,56.5,bull
2026-05-04,00733,128.5,32.2,29.9,48.6,128.5,55.4,51.8,37%,64.4000015258789,bull
2026-05-04,5443,174.8,19.1,19.3,51.3,174.8,51.6,50.4,25%,129.5,bull
2026-05-04,6207,145.7,24.8,25.5,48.1,145.7,50.3,49.8,32%,64.5,bull
2026-05-04,2374,115.5,27.0,28.3,42.5,115.5,49.6,46.1,35%,78.4000015258789,bull
2026-05-04,8091,142.6,29.1,22.6,50.0,142.6,49.5,50.4,29%,192.0,bull
2026-05-04,2417,115.8,23.8,29.4,40.7,115.8,49.0,44.9,36%,47.150001525878906,bull
2026-05-04,6015,113.2,34.5,27.4,46.5,113.2,47.3,49.1,33%,14.199999809265137,bull
2026-05-04,2328,110.5,27.9,28.1,41.9,110.5,45.2,45.5,34%,49.54999923706055,bull
2026-05-04,2465,126.0,31.1,18.8,47.3,126.0,44.7,45.8,24%,74.0,bull
2026-05-04,00938,117.1,27.5,23.7,43.2,117.1,44.3,45.0,28%,20.260000228881836,bull
2026-05-04,00936,120.1,35.0,13.6,48.4,120.1,42.0,42.9,10%,18.940000534057617,bull
2026-05-04,6488,134.8,77.7,38.6,72.9,134.8,82.6,80.0,48%,606.0,bull
2026-05-04,8121,184.9,37.7,46.1,58.6,184.9,77.9,71.4,56%,31.350000381469727,bull
2026-05-04,3535,136.5,44.9,41.6,53.5,136.5,70.6,63.8,49%,141.0,bull
2026-05-04,2327,135.0,45.7,38.9,53.7,135.0,69.7,63.0,47%,342.5,bull
2026-05-04,3498,171.3,37.5,32.2,55.9,171.3,68.8,62.6,42%,96.4000015258789,bull
2026-05-04,3033,175.4,40.1,26.3,58.2,175.4,68.4,61.1,35%,37.900001525878906,bull
2026-05-04,4510,171.9,33.8,33.3,53.8,171.9,68.1,61.1,41%,51.70000076293945,bull
2026-05-04,2302,162.6,34.6,27.9,52.4,162.6,63.9,56.5,36%,19.549999237060547,bull
2026-05-04,8255,205.4,37.9,16.3,62.7,205.4,62.0,60.6,22%,142.5,bull
2026-05-04,3580,139.2,44.5,27.8,53.8,139.2,61.5,57.7,35%,94.4000015258789,bull
2026-05-04,2395,134.7,41.5,29.4,51.2,134.7,60.0,55.9,39%,395.0,bull
2026-05-04,00888,148.3,51.1,26.2,59.6,148.3,58.9,62.3,33%,27.81999969482422,bull
2026-05-04,4526,132.9,38.3,30.1,48.9,132.9,58.7,54.1,38%,37.5,bull
2026-05-04,8131,123.4,37.1,35.9,46.3,123.4,58.2,55.4,43%,66.80000305175781,bull
2026-05-04,1612,174.3,33.2,24.1,53.9,174.3,58.0,56.5,30%,36.45000076293945,bull
2026-05-04,3707,131.0,34.4,31.8,46.1,131.0,57.5,52.2,40%,68.69999694824219,bull
2026-05-04,2883,147.4,44.1,26.0,55.1,147.4,56.6,58.2,34%,21.399999618530273,bull
2026-05-04,6015,152.2,40.0,25.7,53.6,152.2,56.2,56.8,33%,14.649999618530273,bull
2026-05-04,1536,125.5,38.7,27.5,47.7,125.5,55.9,52.2,35%,55.0,bull
2026-05-04,6412,143.6,40.6,24.7,52.3,143.6,54.1,55.3,33%,89.0999984741211,bull
2026-05-04,00939,147.3,46.5,16.0,56.6,147.3,52.2,53.0,18%,17.239999771118164,bull
2026-05-04,5443,152.5,34.1,18.2,50.1,152.5,50.8,50.0,25%,137.5,bull
2026-05-04,5464,143.0,40.8,17.9,52.3,143.0,50.6,51.9,24%,35.900001525878906,bull
2026-05-04,2417,132.6,32.3,26.0,45.2,132.6,50.0,49.4,33%,51.79999923706055,bull
2026-05-04,6189,133.4,38.7,20.2,49.2,133.4,49.2,51.0,28%,49.25,bull
2026-05-04,8926,122.2,40.5,23.7,48.1,122.2,49.1,51.2,32%,45.900001525878906,bull
2026-05-04,00858,129.2,32.1,23.3,44.4,129.2,47.9,47.7,30%,34.61000061035156,bull
2026-05-04,2881,138.2,24.8,13.9,41.8,138.2,43.0,39.1,16%,91.0,bull
2026-05-04,00981D,131.2,15.0,15.9,34.6,131.2,39.7,33.4,17%,10.399999618530273,bull
2026-05-04,00987B,124.2,18.8,0.0,35.5,124.2,37.6,48.7,—,16.0,bull
2026-05-05,3535,180.3,50.2,42.0,67.3,180.3,85.7,69.4,49%,145.5,bull
2026-05-05,4541,193.7,38.9,39.1,63.3,193.7,84.1,65.2,45%,51.70000076293945,bull
2026-05-05,2449,176.0,76.4,33.1,82.2,176.0,84.0,76.6,39%,354.0,bull
2026-05-05,6488,178.6,64.2,37.3,75.4,178.6,82.0,74.2,44%,666.0,bull
2026-05-05,2455,149.5,53.3,42.5,62.9,149.5,78.1,66.1,51%,386.5,bull
2026-05-05,8121,171.0,34.7,43.9,56.1,171.0,77.2,61.2,52%,32.95000076293945,bull
2026-05-05,6182,171.3,34.8,42.0,56.3,171.3,76.8,60.7,50%,48.5,bull
2026-05-05,3004,165.4,39.6,41.1,57.9,165.4,76.7,61.7,48%,125.5,bull
2026-05-05,3691,186.2,42.3,37.2,63.8,186.2,76.2,65.0,43%,135.0,bull
2026-05-05,6830,170.0,36.0,47.0,56.7,170.0,73.9,64.3,56%,975.0,bull
2026-05-05,3265,148.1,39.8,41.8,54.5,148.1,72.0,59.2,48%,190.0,bull
2026-05-05,3707,161.0,52.5,33.2,64.7,161.0,71.9,62.8,40%,75.5,bull
2026-05-05,8374,151.7,33.0,44.3,51.1,151.7,71.0,57.4,53%,90.0,bull
2026-05-05,4526,175.9,40.8,30.7,60.8,175.9,70.5,58.8,37%,40.29999923706055,bull
2026-05-05,2369,153.7,33.2,40.5,51.6,153.7,70.5,56.5,46%,33.20000076293945,bull
2026-05-05,2342,154.1,46.3,32.5,59.6,154.1,67.7,58.5,39%,39.70000076293945,bull
2026-05-05,3498,153.7,44.2,33.2,58.2,153.7,67.2,59.1,42%,101.0,bull
2026-05-05,1809,165.1,31.3,33.0,52.9,165.1,65.4,53.4,40%,31.049999237060547,bull
2026-05-05,6129,158.7,37.6,30.8,55.3,158.7,65.2,54.5,37%,18.100000381469727,bull
2026-05-05,2408,144.2,79.6,18.7,77.5,144.2,62.6,66.8,24%,256.5,bull
2026-05-05,3481,158.9,29.3,27.8,50.4,158.9,61.1,49.6,35%,27.25,bull
2026-05-05,2344,140.1,30.5,35.1,47.2,140.1,59.7,49.6,40%,98.80000305175781,bull
2026-05-05,3014,176.3,36.4,23.5,58.2,176.3,59.1,54.2,29%,131.0,bull
2026-05-05,5464,171.5,45.7,19.3,62.8,171.5,58.7,55.4,24%,39.45000076293945,bull
2026-05-05,2317,162.0,37.7,24.3,56.1,162.0,56.9,52.9,31%,239.5,bull
2026-05-05,5009,168.9,34.4,23.4,55.5,168.9,56.9,52.1,30%,34.79999923706055,bull
2026-05-05,6138,161.0,31.7,26.8,52.2,161.0,56.2,50.7,34%,251.5,bull
2026-05-05,8255,160.6,43.4,17.7,59.2,160.6,55.0,52.0,22%,148.5,bull
2026-05-05,6525,158.9,39.0,17.6,56.2,158.9,53.3,49.6,22%,102.5,bull
2026-05-05,3317,144.2,35.6,18.1,51.1,144.2,49.5,45.8,23%,62.20000076293945,bull
2026-05-06,8042,188.5,48.9,40.7,64.8,188.5,87.2,75.4,47%,77.30000305175781,bull
2026-05-06,8150,167.1,52.7,42.6,63.1,167.1,83.0,74.5,51%,89.19999694824219,bull
2026-05-06,5351,182.5,34.2,45.5,54.9,182.5,80.8,69.5,54%,78.5,bull
2026-05-06,6488,202.6,43.3,34.6,64.1,202.6,79.6,72.6,41%,721.0,bull
